CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
11001007200,District of Columbia,District of Columbia,4584,2480,2104,4.6,65.4,22.5,0.2,4.1,0,4124,106897,14030,63970,7990,12.2,15.1,75,6.2,16.1,1.5,1.2,32.1,5.2,29.2,24,4.8,4.6,22.1,3051,55.3,40.6,4.1,0,6
11001007301,District of Columbia,District of Columbia,4002,2249,1753,9.3,61,22.6,0,1.4,0,2564,75625,11531,28639,3705,2.7,2.3,67.5,9.5,16.3,0,6.7,52.3,10.2,2.5,22.5,4.1,8.5,15,849,37.9,58,4.1,0,0.9
11001007304,District of Columbia,District of Columbia,3514,1223,2291,1.7,3.5,93.3,0,0,0,2629,29542,10359,17347,2584,40.6,59.9,29,33.2,21.9,4.3,11.7,28.7,6.3,53,0.5,5.4,6,33.1,1034,60.8,36.6,2.6,0,23.5
11001007401,District of Columbia,District of Columbia,2453,1035,1418,1.8,0.2,97.6,0,0.4,0,1564,15205,2340,9501,1587,60.8,69.5,12.4,46.3,23.9,7.1,10.3,27.2,4.6,62.5,1.7,1,3.1,42.8,574,81,12.4,6.6,0,22.1
11001007403,District of Columbia,District of Columbia,3500,1627,1873,2.8,1.2,96,0,0,0,2215,31399,2491,13191,2016,31.7,35.4,19.4,30.7,31.8,8.5,9.5,36.5,3.1,53.1,6.1,1.2,0,38.7,1143,83,17,0,0,21
11001007404,District of Columbia,District of Columbia,3795,1425,2370,0.2,0.7,98.2,0.4,0,0,2243,28569,5543,16071,4680,40.4,50.5,28.9,23.5,32.6,8,7,31.2,7.6,54.6,0,0,6.6,38.3,961,68.5,29,2.5,0,27.7
11001007406,District of Columbia,District of Columbia,3061,1366,1695,0.6,0,97.9,0,0,0.4,1934,37344,13074,13077,2168,29.9,29.5,26,32.3,29.9,4,7.8,35.3,10.9,51.3,1.8,0.6,0,35.8,1151,74.5,23.6,1.8,0,8.2
11001007407,District of Columbia,District of Columbia,2734,1233,1501,0,0.8,97.4,0,0,0,1958,34531,9782,21111,4343,25.2,36.9,32.5,22.3,26.3,7.3,11.6,51,12.4,31.1,2.4,0,3.1,28.6,1037,77,22.3,0.8,0,16.6
11001007408,District of Columbia,District of Columbia,3548,1805,1743,1.4,0.8,93.2,0,0,0,2436,22353,4557,11340,2219,52,71.6,8.3,48.1,15.6,9.3,18.8,39.3,7.7,43,6.4,0,3.7,36.1,821,69.8,25.6,4.6,0,23.2
11001007409,District of Columbia,District of Columbia,3802,1496,2306,0,0.7,98.1,0,1.2,0,2627,33990,6320,16408,2491,37.8,55.6,19.7,39.1,34.2,5.8,1.2,46.2,5.1,42.7,6,0,0,37.7,1233,70.1,29.9,0,0,19.8
11001007502,District of Columbia,District of Columbia,5361,2088,3273,0.2,1,98.4,0,0,0,3774,26422,9110,18210,6742,52.2,64.7,37.5,28.9,28.7,1.1,3.8,40.4,13.2,42.3,0.7,2.7,0.8,35,1353,57.2,42.2,0.6,0,26.8
11001007503,District of Columbia,District of Columbia,2694,1261,1433,0.6,1.4,97.2,0,0.2,0,1597,26125,8083,14185,2054,47.1,59.4,23.8,21.3,27.4,6.7,20.9,37.4,11.2,41.9,1,0.8,7.8,36.3,804,78,20.5,1.5,0,17.2
11001007504,District of Columbia,District of Columbia,2780,1202,1578,0,0.5,99.5,0,0,0,1846,17159,2948,15411,4123,48.2,67.3,26.8,33.2,29.7,5.4,4.9,50.3,3.6,38.5,0,0,7.6,37.2,777,71.6,21.9,6.6,0,19.4
11001007601,District of Columbia,District of Columbia,4182,1926,2256,2.1,2.2,94.6,0.6,0,0.4,3317,35438,7428,25917,4277,24,38.3,29.9,20.3,32.4,8.1,9.3,48.2,2.4,38.8,3.1,4.4,3,32.9,1747,79.5,17.7,2.7,0,17.2
11001007603,District of Columbia,District of Columbia,3950,1960,1990,9.3,6.2,82.8,0,1.7,0,3368,48847,9463,37890,6424,20.7,33.5,39.2,15.3,26.1,3.5,15.9,41.5,16.4,40,1,1.1,0,36,1993,65.1,31.5,2.3,1.1,6.9
11001007604,District of Columbia,District of Columbia,3766,1938,1828,1.6,3.7,92.1,1.7,0,0,3091,53462,8932,32246,4277,18,31.9,39.3,16,30.7,8.5,5.5,59.4,0.5,37,0.6,0.5,1.9,33.2,1795,57.6,40.2,2.2,0,14.5
11001007605,District of Columbia,District of Columbia,3609,1510,2099,0.3,2,89.2,0.9,4.5,0,2835,34761,9132,22948,2887,28.8,43.8,37.7,21.1,25.3,2.1,13.9,47.1,7.3,37.9,4.2,1.8,1.7,38.9,1615,73.3,25.3,1.4,0,14.4
11001007703,District of Columbia,District of Columbia,5267,2081,3186,0.7,0,98.9,0,0.3,0,3587,25588,4910,16309,4972,46.7,58.1,13.8,35.6,37.6,4.1,8.8,46.7,1.5,41.5,4.4,5.2,0.7,31.4,1550,70.8,21.9,7.3,0,24.2
11001007707,District of Columbia,District of Columbia,4423,2044,2379,1.6,0,97.9,0,0,0,3179,49012,15267,20301,3235,28.1,44.3,31.2,28.6,27.5,6.3,6.4,42.5,13.7,40.1,0,0,3.7,38.3,1511,63.9,34.5,1.7,0,19.4
11001007708,District of Columbia,District of Columbia,3070,1145,1925,0,0,100,0,0,0,2306,28438,8779,16794,2701,31.4,52.1,24.7,25.8,36.8,2.3,10.4,17.9,11.7,61.1,0,9.2,0,39.1,859,71.4,28.6,0,0,35.3
11001007709,District of Columbia,District of Columbia,2165,1061,1104,5.1,0.9,90.6,0,0,0,1739,33372,5550,20962,2904,28.8,33.4,18.8,35.8,25.2,7.4,12.8,46.8,2.7,47.6,0,0,2.9,36.1,836,76.7,19.3,2.9,1.2,25.6
11001007803,District of Columbia,District of Columbia,3473,1795,1678,11.2,1.1,85.2,1.2,0.1,0,2637,38074,10073,22943,3789,21.2,39.8,23.9,33.6,38.1,1.3,3.1,46.9,8.7,35.7,4,2.6,2.1,32.2,1553,76.3,19.4,4.2,0,18.2
11001007804,District of Columbia,District of Columbia,3214,1255,1959,3.9,0.5,93.9,0,0.2,0,2341,39732,11674,19639,3301,29,50.9,20.7,30.6,24.5,6.7,17.6,39.8,5.6,45.7,5.7,3.1,0,30.4,1065,75.1,21.9,3,0,13.1
11001007806,District of Columbia,District of Columbia,2080,1002,1078,0.4,2.7,95.7,0.6,0,0,1508,29638,7914,20595,4007,26.4,24,19.5,34.9,30.6,4.4,10.6,46.5,3.1,42.9,1.1,0.8,5.6,35.9,743,76.3,22.2,1.5,0,19.2
11001007807,District of Columbia,District of Columbia,2314,1052,1262,1.4,0,97.2,0,0.5,0,1683,38289,13530,24328,7127,21.3,33.3,39,20.9,24.1,3.8,12.1,48.9,7,43.3,0,0,0.8,35.6,783,71.3,25.7,3.1,0,20.9
11001007808,District of Columbia,District of Columbia,4289,1968,2321,3.1,0.5,96.3,0,0.2,0,2553,35718,10709,20546,3611,29.5,31.8,42.7,13.1,23.3,9,11.9,40.2,6.6,32.5,5.9,5.2,9.8,42,1406,63.7,26.2,10,0,30.4
11001007809,District of Columbia,District of Columbia,2805,1162,1643,2,2.4,93.4,0.4,0.6,0,2103,39508,12699,23366,4377,24.3,37.2,28.7,31.3,29.1,4,6.8,50.2,8.9,38.3,0.7,1.9,0,35.5,1286,71.2,27.4,1.5,0,14
